country;Purchasing Power Value;Purchasing Power Category;Safety Value;Safety Category;Health Care Value;Health Care Category;Climate Value;Climate Category;Cost of Living Value;Cost of Living Category;Property Price to Income Value;Property Price to Income Category;Traffic Commute Time Value;Traffic Commute Time Category;Pollution Value;Pollution Category;Quality of Life Value;Quality of Life Category;Continent;Purchasing Power Value nor;Safety Value nor;Health Care Value nor;Climate Value nor;Cost of Living Value nor;Property Price to Income Value nor;Traffic Commute Time Value nor;Pollution Value nor;Etudiant;Salarie;Independant;Touriste;Chomeur
Guatemala;40,26;Low;41,92;Moderate;67,33;High;99,89;Very High;36,67;Very Low;11,44;Moderate;50,58;High;73,47;High;107,92;Low;North America;-0,729948439;-0,328171377;0,19808542;1;0,685778857;0,951583861;0,018444101;-0,353697438;1,525720862;-0,155811438;2,302109381;1,022354142;1,525720862
Guernsey;142,95;Very High;76,14;High;61,11;High;73,21;High;66,48;Moderate;9,66;Moderate;16,25;Very Low;11,49;Very Low;204,02;Very High;Europe;0,005442567;0,55503936;0,045409917;0,446185781;0,186741441;0,95949761;0,725914477;0,844562591;2,472602805;1,518547762;3,1629019;2,75844365;2,472602805
Guinea;51,15;Low;39,95;Low;100;Very High;88,73;Very High;44,44;Low;0,68;Very Low;48,14;High;106,67;Very High;108,64;Low;Africa;-0,651962188;-0,379016647;1;0,768344577;0,555704361;0,99942203;0,06872746;-0,995553407;2,244837203;0,593452985;1,39664502;0,018206343;2,244837203
Guinea-Bissau;76,11;Moderate;48,18;Moderate;51,39;Moderate;82,34;Very High;39,6;Very Low;7,13;Low;20;Very Low;63,65;High;139,14;Moderate;Africa;-0,473216843;-0,166602142;-0,19317624;0,635703166;0,636728886;0,970745804;0,648634724;-0,163847269;1,896331033;0,452368385;2,727965311;1,590617364;1,896331033
Guyana;35;Very Low;33,65;Low;37,65;Low;77,67;High;44,46;Low;19,72;Very High;52;High;60,09;High;89,88;Very Low;South America;-0,767616729;-0,541618273;-0,530436917;0,53876492;0,555369549;0,914771591;-0,010819165;-0,09502175;0,387266784;-1,295121536;1,903065144;0,44667528;0,387266784
Haiti;77,7;Moderate;21,41;Low;32,72;Low;79,66;High;51,39;Low;5,5;Low;80,67;Very High;94,3;Very High;87,07;Very Low;North America;-0,461830421;-0,857530004;-0,651448208;0,580072652;0,439357161;0,977992664;-0,601648635;-0,75640406;-0,693277022;-2,133100107;0,639369782;-1,196152886;-0,693277022
Honduras;43,68;Low;27,75;Low;37,83;Low;73,91;High;34,39;Very Low;6,36;Low;19,7;Very Low;75,52;High;98,97;Very Low;North America;-0,705456889;-0,693895987;-0,526018655;0,460716139;0,723947435;0,974169168;0,654817105;-0,393330111;1,133019065;-0,546606992;2,420319734;0,75225458;1,133019065
Hungary;70,34;Moderate;66,28;High;54,07;Moderate;78,74;High;37,72;Very Low;13,22;High;35,68;Moderate;46,57;Moderate;143,26;Moderate;Europe;-0,514537382;0,30055491;-0,127393225;0,56097561;0,668201222;0,943670112;0,325502318;0,166360561;2,110535338;0,652327844;2,664709823;2,021594621;2,110535338
Iceland;126,81;Very High;74,26;High;67,63;High;68,81;High;81,71;High;6,39;Low;21,35;Very Low;15,84;Very Low;202,04;Very High;Europe;-0,110140361;0,50651697;0,20544919;0,354852102;-0,068217963;0,97403579;0,620814013;0,760463992;2,238598;1,15442185;2,641947934;2,174429115;2,238598
India;86,09;High;55,67;Moderate;65,43;High;64,1;High;19,93;Very Low;11,26;Moderate;46,54;High;72,89;High;124,7;Moderate;Asia;-0,40174735;0,026713124;0,151448208;0,25708355;0,966016573;0,952384128;0,101700155;-0,342484292;2,198262188;0,84413071;1,934700113;1,00902911;2,198262188
Indonesia;33,47;Very Low;54,11;Moderate;60,84;High;63,76;High;25,31;Very Low;16,65;Very High;43,11;High;67,99;High;99,98;Very Low;Asia;-0,778573475;-0,013550136;0,038782523;0,250025947;0,875952122;0,928420585;0,172385368;-0,247752537;2,001990463;0,294996403;1,979031484;1,037060764;2,001990463
Iran;29,9;Very Low;49,67;Moderate;52,62;Moderate;70,99;High;24,03;Very Low;20,05;Very High;46,92;High;75,24;High;85,42;Very Low;Asia;-0,804139215;-0,128145567;-0,162984782;0,400103788;0,897380095;0,913304435;0,09386914;-0,387916868;1,613423321;-0,104020329;1,91674059;0,875290588;1,613423321
Iraq;55,15;Low;57,47;Moderate;45,9;Moderate;46,98;Moderate;26,81;Very Low;8,17;Moderate;37,05;Moderate;71,53;High;107,76;Low;Asia;-0,623317101;0,073170732;-0,327933235;-0,098287494;0,850841215;0,966122041;0,297269449;-0,316191397;1,859470201;0,27003106;1,699753814;0,806802505;1,859470201
Ireland;112,53;Very High;52,53;Moderate;51,38;Moderate;87,83;Very High;60,85;Moderate;6,58;Low;37,76;Moderate;34,79;Low;166,37;Very High;Europe;-0,212403323;-0,054329591;-0,193421699;0,749662688;0,280991044;0,973191064;0,282637816;0,394103432;1,289068634;0,103474247;2,680586043;1,653065388;1,289068634
Israel;108,83;High;68,25;High;73,34;High;93,78;Very High;63,19;Moderate;13,98;High;36,61;Moderate;56,84;Moderate;161,76;Very High;Asia;-0,238900029;0,351400181;0,345606284;0,873170732;0,24181803;0,940291208;0,30633694;-0,032189464;2,185452642;1,006261405;2,329427446;1,740536418;2,185452642
Italy;87,2;High;53,03;Moderate;65,13;High;90,78;Very High;52,12;Low;9,47;Moderate;32,36;Low;53,67;Moderate;151,06;High;Europe;-0,393798339;-0,0414247;0,144084438;0,810897769;0,42713652;0,960342336;0,393920659;0,029096182;1,884059253;0,529918578;2,621393466;1,619626429;1,884059253
Ivory Coast;12,91;Very Low;43,57;Moderate;44,44;Moderate;62,5;High;39,62;Very Low;41,78;Very High;43,5;High;94,87;Very High;63,39;Very Low;Africa;-0,925809224;-0,285585237;-0,36377025;0,223871303;0,636394074;0,816694454;0,164348274;-0,767423876;0,968081314;-0,774422363;1,073884228;-0,028395463;0,968081314
Jamaica;36,87;Very Low;32,61;Low;51,52;Moderate;71,58;High;49,56;Low;20,19;Very High;44,5;High;66,31;High;83,92;Very Low;North America;-0,75422515;-0,568460447;-0,189985272;0,412350804;0,469992467;0,912682005;0,14374034;-0,215273079;0,767969093;-0,898938063;1,723492537;0,242350086;0,767969093
Japan;120,74;Very High;77,07;High;79,81;High;85,26;Very High;46,99;Low;12,29;High;40,33;Moderate;38,55;Low;184,32;Very High;Asia;-0,153609281;0,579042457;0,504418262;0,696315516;0,51301582;0,947804824;0,229675425;0,32141131;2,773956788;1,672542683;2,708222895;2,339460528;2,773956788
Jersey;104,07;High;74,32;High;53,94;Moderate;65,51;High;77,04;High;13,33;High;27;Low;26,72;Low;182,05;Very High;Europe;-0,272987683;0,508065557;-0,130584192;0,286351842;0,00996066;0,94318106;0,504379186;0,550120831;1,83500227;0,618833527;2,293993579;1,858878076;1,83500227
Jordan;52,44;Low;59,78;Moderate;65,23;High;89,05;Very High;37,64;Very Low;6,77;Low;39,38;Moderate;77,1;High;125,01;Moderate;Asia;-0,642724148;0,132791328;0,146539028;0,774987026;0,66954047;0,972346338;0,249252962;-0,423876269;2,170470126;0,555399641;2,242250528;1,402695518;2,170470126
Kazakhstan;51,89;Low;54,62;Moderate;60,65;High;39,78;Moderate;28,08;Very Low;10,27;Moderate;35,62;Moderate;73,16;High;105,92;Low;Asia;-0,646662847;-0,000387147;0,034118802;-0,247742605;0,829580648;0,956785595;0,326738794;-0,347704205;2,146836693;0,54338825;1,517658227;0,560485486;2,146836693
Kenya;35,6;Very Low;44,24;Moderate;61,54;High;99,79;Very High;28,23;Very Low;18,77;Very High;50,59;High;69,04;High;101,33;Low;Africa;-0,763319966;-0,268292683;0,055964654;0,997924235;0,827069557;0,918995221;0,018238022;-0,268052199;1,55197477;-0,130340416;2,494174835;1,306886931;1,55197477
Kiribati;281,83;Very High;81,86;Very High;55,56;Moderate;50,41;Moderate;55,26;Low;12,23;Very Low;47,9;High;106,9;Very High;192,64;Very High;Oceania;1;0,702671312;-0,090819833;-0,027088739;0,374571022;0,948071579;0,073673364;-1;2,008167445;2,060095866;0,369227227;0,12382696;2,008167445
Kuwait;176,8;Very High;67,19;High;57,93;Moderate;20,22;Moderate;40,82;Low;6,69;Low;35,32;Moderate;69,37;High;159,55;High;Asia;0,247851618;0,324041812;-0,032646048;-0,653762325;0,616305349;0,972702012;0,332921175;-0,274432093;2,213324299;1,488473905;0,993734117;0,345073917;2,213324299
Kyrgyzstan;35,11;Very Low;46,17;Moderate;57,62;Moderate;58,11;Moderate;25,72;Very Low;12,89;High;37,7;Moderate;70,38;High;98,32;Very Low;Asia;-0,766828989;-0,218479804;-0,040255277;0,1327452;0,869088474;0,945137268;0,283874292;-0,293958434;1,839364952;0,127398696;1,936886799;0,773269728;1,839364952
Laos;32,51;Very Low;63,72;High;34,44;Low;65,38;High;32,57;Very Low;12,67;High;22,4;Very Low;78,51;High;94,01;Very Low;Asia;-0,785448296;0,234481869;-0,609229259;0,283653347;0,754415334;0,946115372;0,599175683;-0,451135814;1,924958999;0,193395331;2,132223922;1,420590418;1,924958999
Latvia;76,15;Moderate;62,8;High;62,4;High;74,7;High;44,96;Low;8,38;Moderate;28,7;Low;30,4;Low;164,22;Very High;Europe;-0,472930392;0,210736869;0,077074129;0,477114686;0,546999247;0,965188396;0,469345698;0,47897535;2,269344339;0,83122555;2,937623377;2,18317185;2,269344339
Lebanon;34,84;Very Low;53,16;Moderate;63,69;High;94,74;Very High;38,99;Very Low;16,26;Very High;38,75;Moderate;89,41;Very High;98,43;Very Low;Asia;-0,768762532;-0,038069428;0,108738341;0,89309808;0,646940655;0,930154496;0,262235961;-0,661865636;1,910000024;0,211082996;2,070563556;1,102339631;1,910000024
Lesotho;86,84;High;32,75;Low;55,56;Moderate;80,12;Very High;38,33;Very Low;3,11;Very Low;51;High;58,62;Moderate;112,48;Low;Africa;-0,396376396;-0,564847077;-0,090819833;0,589621173;0,657989453;0,988618428;0,009788769;-0,066602223;1,00072974;-0,384265084;2,1794156;0,625950095;1,00072974
Liberia;33,34;Very Low;19,13;Very Low;38,89;Low;76,38;High;64,1;Moderate;25,57;Very High;30;Low;91,76;Very High;86,92;Very Low;Africa;-0,77950444;-0,916376307;-0,5;0,511987545;0,22658408;0,888762921;0,442555384;-0,707298212;0,141526078;-1,526741283;1,362591718;-0,442547509;0,141526078
Libya;50,47;Low;44,23;Moderate;45,45;Moderate;96,54;Very High;18,72;Very Low;7,62;Low;27,36;Low;53,02;Moderate;134,14;Moderate;Africa;-0,656831853;-0,268550781;-0,338978891;0,930461858;0,986272704;0,9685673;0,49696033;0,041662639;1,844270663;0,21887151;3,423924831;2,18680675;1,844270663
Liechtenstein;178,83;Very High;87,84;Very High;70,37;High;80,11;Very High;94,03;Very High;5,07;Low;18,06;Very Low;6,47;Very Low;210,35;Very High;Europe;0,262389;0,857013808;0,272704958;0,589413596;-0,274462208;0,979904413;0,688614116;0,941614306;2,523775087;1,806259675;2,925084224;2,802193619;2,523775087
Lithuania;80,43;Moderate;67,72;High;74,95;High;67,76;High;44,73;Low;12,25;High;23,36;Very Low;26,14;Low;172,77;Very High;Europe;-0,442280149;0,337720996;0,385125184;0,333056565;0,550849586;0,947982661;0,579392066;0,561333978;2,801070493;1,410807683;2,972614855;2,36235319;2,801070493
Luxembourg;195,55;Very High;64,68;High;75,24;High;82,62;Very High;63,72;Moderate;8,48;Moderate;27,04;Low;23,27;Low;224,31;Very High;Europe;0,382125465;0,259259259;0,392243495;0,641515309;0,232945509;0,964743803;0,503554869;0,61681972;2,352746936;1,770128598;2,95957921;2,254094666;2,352746936
Madagascar;16,75;Very Low;35,59;Low;39,32;Low;64,54;High;21,27;Very Low;22,4;Very High;31,75;Low;86,87;Very High;81,29;Very Low;Africa;-0,89830994;-0,491547296;-0,489445263;0,266216917;0,943584163;0,902856508;0,406491499;-0,612759787;1,271939611;-0,529226836;1,9063893;0,511985496;1,271939611
Malawi;29,25;Very Low;43,89;Moderate;37,5;Low;76,69;High;35,35;Very Low;81,6;Very High;20,34;Very Low;64,16;High;36,36;Very Low;Africa;-0,808794042;-0,277326107;-0,534118802;0,518422418;0,707876454;0,639657664;0,641628027;-0,173707105;1,177717236;-0,270734469;2,333877458;1,416893688;1,177717236
Malaysia;86,32;High;51,03;Moderate;70,37;High;56,55;Moderate;29,82;Very Low;8,5;Moderate;37,17;Moderate;61,14;High;136,22;Moderate;Asia;-0,400100258;-0,093044264;0,272704958;0,100363259;0,800451996;0,964654885;0,294796497;-0,115321411;2,239564072;0,87480893;2,044945226;0,987246077;2,239564072
Maldives;52,96;Low;45,91;Moderate;45,94;Moderate;82,62;Very High;45,85;Low;11,61;Moderate;19,4;Very Low;74,55;High;115,35;Low;Asia;-0,639000286;-0,225190347;-0,326951399;0,641515309;0,532100109;0,950828054;0,660999485;-0,37457709;1,591785901;0,001957561;2,410865866;1,234847465;1,591785901
Mali;18,85;Very Low;52,92;Moderate;18,52;Very Low;83,33;Very High;35,02;Very Low;100,71;Very High;39,52;Very Low;85,52;Very High;38,37;Very Low;Africa;-0,883271269;-0,044263776;-1;0,656253243;0,713400854;0,55469601;0,246367852;-0,586660222;0,470200939;-0,96776634;1,584057736;0,98509795;0,470200939
Malta;78,04;Moderate;57,09;Moderate;52,12;Moderate;97,44;Very High;48,99;Low;11,14;Moderate;28,33;Low;75,5;High;132,54;Moderate;Europe;-0,459395589;0,063363015;-0,175257732;0,949143747;0,479534611;0,952917639;0,476970634;-0,392943451;1,797528167;0,385214939;2,46562318;1,576068555;1,797528167
Marshall Islands;72,4;Moderate;72,55;High;66,96;High;80,93;Very High;63,12;Moderate;22,06;Very High;30,37;Very Low;85,63;Very High;105,11;Low;Oceania;-0,499785162;0,462382243;0,189003436;0,606434873;0,242989872;0,904368123;0,434930448;-0,588786854;2,233674122;0,829520838;1,599936462;1,157950582;2,233674122
Martinique;94,35;High;37,14;Low;75;High;83,37;Very High;60,67;Moderate;6,62;Low;36,85;Very Low;62,59;High;156,53;High;North America;-0,342595245;-0,451542134;0,386352479;0,65708355;0,284004353;0,973013227;0,301391036;-0,143354277;1,493218959;0,177610488;2,072137887;0,647582526;1,493218959
Mauritania;56;Low;61,51;High;46,76;Moderate;76,87;High;41,43;Low;14,99;High;39,87;Very Low;78,97;High;113,8;Low;Africa;-0,61723002;0,177442251;-0,30682376;0,522158796;0,60609358;0,935800822;0,239155075;-0,460029;1,651667967;0,098637125;1,843179274;1,084820702;1,651667967
Mauritius;49,7;Low;52,71;Moderate;65,18;High;72,58;High;34,6;Very Low;8,59;Moderate;51,17;High;54,8;Moderate;121,7;Moderate;Africa;-0,662346033;-0,04968383;0,145311733;0,433108459;0,720431908;0,964254752;0,00628542;0,007249879;1,786599982;0,159999198;2,131330417;1,117391835;1,786599982
Mexico;48,48;Low;46,47;Moderate;72,39;High;87,51;Very High;35;Very Low;11,61;Moderate;39,29;Moderate;58,46;Moderate;127,02;Moderate;North America;-0,671082784;-0,210736869;0,322287678;0,743020239;0,713735666;0,950828054;0,251107676;-0,063508942;2,027222205;0,405311367;2,595182693;1,43361777;2,027222205
Micronesia;14,28;Very Low;55,87;Moderate;53,47;Moderate;80,89;Very High;56,24;Low;14,77;High;17,17;Very Low;71,26;High;78,77;Very Low;Oceania;-0,915998281;0,031875081;-0,142120766;0,605604567;0,35816523;0,936778926;0,706955178;-0,310971484;1,891653649;0,038876441;2,296532417;1,391628571;1,891653649
Moldova;47,77;Low;55,52;Moderate;52,12;Moderate;76,91;High;31,44;Very Low;12,92;High;27,75;Low;61,33;High;122,53;Moderate;Europe;-0,676167287;0,022841657;-0,175257732;0,522989102;0,773332217;0,94500389;0,488923235;-0,118994683;2,054843268;0,43367209;2,611253762;1,689091529;2,054843268
Monaco;88,24;High;76,38;High;75;High;76,99;High;137,37;Very High;39,84;Very High;22,5;Very Low;78,2;High;150,29;High;Europe;-0,386350616;0,561233708;0,386352479;0,524649715;-1;0,825319551;0,597114889;-0,445142581;1,370020627;0,15835046;0,501941574;0,23785573;1,370020627
Mongolia;31,73;Very Low;47,53;Moderate;51,63;Moderate;3,54;Low;30,68;Very Low;16,08;Very High;31,42;Low;87,82;Very High;62,52;Very Low;Asia;-0,791034088;-0,1833785;-0,187285223;-1;0,786055077;0,930954763;0,413292117;-0,631126148;1,759638233;0,037649383;0,499175809;-0,615157454;1,759638233
Montenegro;57,92;Low;64,59;High;41,05;Moderate;89,02;Very High;37,37;Very Low;12,92;High;16,89;Very Low;43,7;Moderate;147,33;High;Europe;-0,603480378;0,256936379;-0,446980854;0,774364297;0,674060434;0,94500389;0,712725399;0,221846303;2,141745248;0,593260979;3,328000322;2,639932811;2,141745248
Montserrat;143,64;Very High;93,38;Very High;71,89;High;63,03;High;57,8;Low;6,94;Very Low;19,62;Very Low;29,62;Very Low;178,55;Very High;North America;0,010383844;1;0,310014728;0,234872859;0,332049887;0,97159053;0,656465739;0,494055099;3,270120884;2,308914198;2,689034115;2,717443585;3,270120884
Morocco;42,23;Low;52,34;Moderate;46,87;Moderate;86,09;Very High;27,76;Very Low;13,42;High;35,16;Moderate;68,66;High;110,96;Low;Africa;-0,715840733;-0,059233449;-0,304123711;0,713544369;0,834937641;0,942780927;0,336218444;-0,260705655;1,750579852;0,091958191;2,566775727;1,56476135;1,750579852
Mozambique;18,54;Very Low;38,05;Low;41,15;Moderate;86,89;Very High;39,14;Very Low;50,55;Very High;30;Low;71,57;High;82,78;Very Low;Africa;-0,885491263;-0,428055233;-0,444526264;0,730150493;0,644429564;0,777703679;0,442555384;-0,316964717;0,99210713;-0,671087813;2,277874402;1,072115491;0,99210713
Myanmar;19,87;Very Low;49,14;Moderate;48,6;Moderate;70,3;High;35,88;Very Low;17,19;Very High;49,09;High;89,79;Very High;65,28;Very Low;Asia;-0,875966772;-0,141824752;-0,261659303;0,385781007;0,699003934;0,926019784;0,049149923;-0,66921218;1,270689587;-0,531296969;1,390742468;0,322897932;1,270689587
Namibia;68,25;Moderate;36,45;Low;65,07;High;81,31;Very High;30,18;Very Low;3,55;Very Low;26,18;Very Low;40,72;Moderate;132,51;Moderate;Africa;-0,52950444;-0,469350884;0,142611684;0,614322782;0,794425379;0,986662221;0,521277692;0,279458676;1,975626091;0,459459431;3,196146749;1,740133644;1,975626091
Nauru;34,51;Very Low;49,05;Moderate;55,09;Moderate;67;High;38,32;Very Low;17,47;Very High;35,27;Very Low;101,72;Very High;50,59;Very Low;Oceania;-0,771125752;-0,144147632;-0,102356406;0,317280747;0,658156859;0,924774925;0,333951571;-0,899855002;1,670379317;-0,02552136;1,334309101;0,265386544;1,670379317
Nepal;28,36;Very Low;63,5;High;57,7;Moderate;92,64;Very High;23,48;Very Low;33,09;Very High;33,45;Low;83,87;Very High;88,97;Very Low;Asia;-0,815167574;0,228803717;-0,038291605;0,849507006;0,906587428;0,855329554;0,371458011;-0,554760754;2,323887105;0,653389977;2,428121245;1,801595407;2,323887105
Netherlands;134,19;Very High;73,36;High;79,47;High;87,42;Very High;61,41;Moderate;7,63;Low;23,14;Very Low;21,14;Low;211,85;Very High;Europe;-0,057290175;0,483288166;0,496072656;0,74115205;0,271616305;0,968522841;0,583925811;0,657999033;2,80342578;1,777612764;3,223216041;2,737981366;2,80342578
New Caledonia;99,69;High;36,91;Low;54,17;Moderate;89,63;Very High;73,43;High;8,43;Moderate;32,5;Low;59,31;Moderate;162,56;Very High;Oceania;-0,304354053;-0,457478384;-0,124938635;0,787026466;0,070394241;0,9649661;0,391035549;-0,079942001;0,84397887;-0,425341283;2,133480355;0,711035871;0,84397887
New Zealand;123,9;Very High;51,87;Moderate;68,61;High;95,46;Very High;59,36;Low;8,63;Moderate;32,56;Low;26;Low;186,57;Very High;Oceania;-0,130979662;-0,071364047;0,229504173;0,908043591;0,305934544;0,964076915;0,389799073;0,564040599;1,817950657;0,722894081;3,131894722;2,09645376;1,817950657
Nicaragua;25,14;Very Low;49,25;Moderate;61,57;High;85,21;Very High;31,13;Very Low;18,98;Very High;53,83;High;60,78;High;98,69;Very Low;North America;-0,838226869;-0,138985676;0,056701031;0,695277634;0,778521805;0,918061576;-0,048531685;-0,108361527;1,565767051;-0,190521394;2,234967802;1,177920551;1,565767051
Niger;7,04;Very Low;33,38;Low;30,56;Low;84,18;Very High;132,99;Very High;2;Very High;20;Very Low;63,79;High;71,14;Very Low;Africa;-0,967845889;-0,548586914;-0,704467354;0,67389725;-0,926676153;0,993553407;0,648634724;-0,166553891;-0,53754229;-2,498941586;1,222855337;-0,319284984;-0,53754229
Nigeria;11,37;Very Low;33,51;Low;48,17;Moderate;60,75;High;27,29;Very Low;25,59;Very High;65,31;Very High;87,91;Very High;41,24;Very Low;Africa;-0,936837582;-0,545231643;-0,27221404;0,187545407;0,842805725;0,888674002;-0,285110768;-0,632866119;0,628923277;-1,196588308;1,001048249;-0,432857397;0,628923277
Niue;87,13;High;47,47;Moderate;64,72;High;73,37;High;43,18;Low;28,61;Very High;28,13;Very Low;46,55;Moderate;126,25;Moderate;Oceania;-0,394299628;-0,184927087;0,134020619;0,449507006;0,576797522;0,875247305;0,481092221;0,166747221;1,882230579;0,612683646;2,549391274;1,489216882;1,882230579
North Korea;18,89;Very Low;46,53;Moderate;34,13;Low;66,48;High;33,59;Very Low;30,31;Very High;16,65;Very Low;72,41;High;87,93;Very Low;Asia;-0,882984818;-0,209188282;-0,616838488;0,306486767;0,737339918;0,86768923;0,717671303;-0,333204447;1,496673681;-0,254000367;2,295982772;1,219105259;1,496673681
North Macedonia;59,26;Low;59,17;Moderate;55,12;Moderate;76,3;High;30,57;Very Low;12,24;High;24,91;Very Low;79,59;High;119,96;Low;Europe;-0,593884274;0,117047361;-0,101620029;0,510326933;0,787896543;0,94802712;0,547449768;-0,472015466;2,298800763;0,756889369;2,321684898;1,490705139;2,298800763
Northern Mariana Islands;72,76;Moderate;64,03;High;44,44;Moderate;80,14;Very High;44,1;Low;36,43;Very High;16,04;Very Low;33,33;Low;148,48;High;Oceania;-0,497207104;0,242482901;-0,36377025;0,590036326;0,561396166;0,84048016;0,730242143;0,422329628;2,01083112;0,673143856;3,144484423;2,546487164;2,01083112
Norway;122,3;Very High;67,05;High;75,65;High;68,5;High;71,27;Moderate;8,38;Moderate;26,67;Very Low;18,32;Very Low;194,48;Very High;Europe;-0,142437697;0,320428442;0,402307315;0,348417229;0,106553947;0,965188396;0,511179804;0,712518125;2,305657904;1,198031811;2,643857501;1,999097547;2,305657904
Oman;160,38;Very High;81,94;Very High;65,11;High;67,22;High;39,3;Very Low;2,81;Very Low;20,54;Very Low;34,71;Low;213,42;Very High;Asia;0,130263535;0,704736095;0,14359352;0,321847431;0,641751067;0,989952206;0,63750644;0,395650072;3,117539328;2,257850657;2,986707217;2,701491106;3,117539328
Pakistan;30,57;Very Low;56,31;Moderate;59,38;Moderate;71,93;High;17,9;Very Low;14,3;High;38,01;Moderate;73,31;High;104,14;Low;Asia;-0,799341163;0,043231385;0,002945508;0,419615983;1;0,938868512;0,277485832;-0,350604157;2,262531237;0,524321562;2,285366171;1,389729044;2,262531237
Palau;117,43;Very High;73,24;High;70,53;High;71,18;High;65,57;Moderate;23,2;Very High;24,05;Very Low;14,37;Very Low;192,82;Very High;Oceania;-0,177313091;0,480190992;0,276632302;0,404047743;0,201975391;0,899299767;0,565172591;0,788883519;2,423271044;1,346658187;2,859379011;2,440270236;2,423271044
Palestine;49,62;Low;57,24;Moderate;52,36;Moderate;73,56;High;38,29;Very Low;6,71;Low;48,5;High;65,03;High;120,14;Moderate;Asia;-0,662918934;0,067234482;-0,169366716;0,45345096;0,658659078;0,972613093;0,061308604;-0,190526825;1,590448541;-0,045083487;1,95550491;1,050126299;1,590448541
Panama;44,91;Low;57,32;Moderate;60,66;High;67,84;High;43,83;Low;11,68;Moderate;35,24;Moderate;55,63;Moderate;122,74;Moderate;North America;-0,696648525;0,069299264;0,034364261;0,334717177;0,56591613;0,950516839;0,334569809;-0,00879652;1,954666303;0,30750094;2,176923435;1,29570586;1,954666303
Papua New Guinea;13,71;Very Low;19,89;Very Low;23,86;Low;84,75;Very High;69,3;Moderate;450,4;Very High;44,56;High;78,81;High;20,58;Very Low;Oceania;-0,920080206;-0,896760872;-0,86892489;0,685729113;0,139532937;-1;0,142503864;-0,456935718;-2,483648961;-2,403729167;-0,489169804;-0,385930676;-2,483648961
Paraguay;41,24;Low;39,84;Low;64,52;High;92,24;Very High;23,19;Very Low;15,68;High;42,83;High;66,16;High;109,45;Low;South America;-0,722930392;-0,381855723;0,129111438;0,841203944;0,911442203;0,932733133;0,17815559;-0,212373127;1,769586641;0,113923116;2,651161743;1,336572886;1,769586641
Peru;39,16;Very Low;32,77;Low;56,28;Moderate;97,69;Very High;29,43;Very Low;18,58;Very High;49,78;High;82,19;Very High;85,92;Very Low;South America;-0,737825838;-0,564330881;-0,073146784;0,95433316;0,806980832;0,919839947;0,034930448;-0,522281295;1,124273561;-0,533392224;2,193803092;0,709632264;1,124273561
Philippines;37,95;Very Low;56,92;Moderate;67,2;High;61,23;High;28,77;Very Low;22,2;Very High;41,29;High;72,38;High;96,95;Very Low;Asia;-0,746490977;0,058975352;0,194894453;0,197509081;0,818029631;0,903745693;0,209891808;-0,332624456;2,185536937;0,535300267;1,796551757;0,951781416;2,185536937
Poland;93,75;High;70,99;High;57,92;Moderate;75,9;High;39,35;Very Low;11,03;Moderate;31,79;Low;55,51;Moderate;153,6;High;Europe;-0,346892008;0,422118983;-0,032891507;0,502023871;0,640914037;0,953406691;0,405667182;-0,006476559;2,389215386;1,088916687;2,495535223;1,964247515;2,389215386
Portugal;62,54;Moderate;68,17;High;72,42;High;97,31;Very High;41,72;Low;13,97;High;28,65;Low;28,8;Low;168,85;Very High;Europe;-0,570395302;0,349335398;0,323024055;0,946445252;0,601238805;0,940335667;0,470376095;0,509908168;2,68431002;1,17357905;3,468303987;2,877303718;2,68431002
Puerto Rico;112,17;Very High;38,52;Low;58,5;Moderate;81,28;Very High;59,23;Low;4,21;Very Low;33,69;Low;47,86;Moderate;167,94;Very High;North America;-0,214981381;-0,415924635;-0,018654885;0,613700052;0,308110823;0,983727909;0,366512107;0,141420976;1,223771319;0,025062029;2,413471867;1,013819323;1,223771319
Qatar;184,27;Very High;84,05;Very High;73,45;High;36,03;Moderate;48,27;Low;5,06;Low;29,01;Low;60;High;192,73;Very High;Asia;0,301346319;0,759194735;0,348306333;-0,325583809;0,491587846;0,979948872;0,462957239;-0,093281779;3,041995024;2,363392472;1,515628369;1,294874232;3,041995024
Republic of the Congo;20,45;Very Low;45,71;Moderate;68,52;High;75,58;High;54,46;Low;35,01;Very High;44,77;Very Low;77,59;High;78,1;Very Low;Africa;-0,871813234;-0,230352304;0,227295042;0,495381422;0,387963505;0,846793376;0,138176198;-0,433349444;1,369875817;-0,348730793;1,434965057;0,357819378;1,369875817
Reunion;96,1;High;53,09;Moderate;71,3;High;81,81;Very High;52,71;Low;7,95;Low;31,3;Very Low;32,67;Low;167,91;Very High;Africa;-0,330063019;-0,039876113;0,295532646;0,624701609;0,417259563;0,967100144;0,41576507;0,435089415;2,05578131;0,758618146;2,859915801;1,852939543;2,05578131
Romania;73,36;Moderate;67,82;High;56,51;Moderate;77;High;34,66;Very Low;10,16;Moderate;33,36;Low;58,61;Moderate;142,14;Moderate;Europe;-0,492910341;0,340301974;-0,067501227;0,524857291;0,719427471;0,957274647;0,373312725;-0,066408893;2,322815591;0,872630603;2,508463242;1,891490569;2,322815591
Russia;55,66;Low;61,3;High;61,41;High;43,6;Moderate;25,25;Very Low;14,84;High;43,35;High;59,13;Moderate;113,56;Low;Europe;-0,619664852;0,172022196;0,052773687;-0,168448365;0,876956558;0,936467711;0,167439464;-0,076462059;2,205659617;0,649527053;1,735953309;0,971507794;2,205659617
